name,policy,level,miss
164.gzip,2,1,0.030569095546046133
164.gzip,2,2,0.0013179301485431174
164.gzip,2,3,0.0003449954971541534
164.gzip,f,1,0.03155225420933743
164.gzip,f,2,0.0017161566484160946
164.gzip,f,3,0.0003816294793422866
164.gzip,l,1,0.030335734328791098
164.gzip,l,2,0.0009170904678770864
164.gzip,l,3,0.0003458176214485973
164.gzip,r,1,0.03200828902801972
164.gzip,r,2,0.0017604122791384331
164.gzip,r,3,0.0003825427790754
168.wupwise,2,1,0.014117112104343575
168.wupwise,2,2,0.013033906607763466
168.wupwise,2,3,0.012023785135706776
168.wupwise,f,1,0.014451329082143588
168.wupwise,f,2,0.012859472921425811
168.wupwise,f,3,0.01205367052013824
168.wupwise,l,1,0.013725235035161012
168.wupwise,l,2,0.01291675189583409
168.wupwise,l,3,0.012045034021924717
168.wupwise,r,1,0.01564810097744618
168.wupwise,r,2,0.013391683397163536
168.wupwise,r,3,0.012199181303894704
171.swim,2,1,0.08675141607648347
171.swim,2,2,0.07343816973933721
171.swim,2,3,0.07008940181429028
171.swim,f,1,0.08684509926148215
171.swim,f,2,0.0698498089823126
171.swim,f,3,0.06981769759869869
171.swim,l,1,0.08679202059463839
171.swim,l,2,0.06982745077900207
171.swim,l,3,0.06981352331666214
171.swim,r,1,0.08773692404211766
171.swim,r,2,0.07849791545592387
171.swim,r,3,0.07273057186685387
172.mgrid,2,1,0.03662583896243633
172.mgrid,2,2,0.033496409293309895
172.mgrid,2,3,0.021863005940075696
172.mgrid,f,1,0.03487724047399952
172.mgrid,f,2,0.033581112900585595
172.mgrid,f,3,0.021443353228983414
172.mgrid,l,1,0.034596732610063165
172.mgrid,l,2,0.03354791859611221
172.mgrid,l,3,0.02143425543921169
172.mgrid,r,1,0.044707008377619
172.mgrid,r,2,0.03394628456553583
172.mgrid,r,3,0.02405670020405994
173.applu,2,1,0.057324535003819975
173.applu,2,2,0.055373822399131946
173.applu,2,3,0.054713554771243296
173.applu,f,1,0.05817986721708292
173.applu,f,2,0.0552489104393748
173.applu,f,3,0.0547315539672635
173.applu,l,1,0.05720266217532802
173.applu,l,2,0.055104030785137995
173.applu,l,3,0.05488165459248086
173.applu,r,1,0.05990689478705301
