name,policy,size,assoc,level,miss
164.gzip,2,16,16,1,0.022680853119863877
164.gzip,2,16,32,1,0.022699086662251365
164.gzip,2,16,4,1,0.022530016492029695
164.gzip,2,16,64,1,0.022666751833798463
164.gzip,2,16,8,1,0.022637832220929622
164.gzip,2,17,16,1,0.009913235010914736
164.gzip,2,17,32,1,0.009983203660688299
164.gzip,2,17,4,1,0.00957221878078726
164.gzip,2,17,64,1,0.01001387260570246
164.gzip,2,17,8,1,0.009775595641491363
164.gzip,2,18,16,1,0.0013995877986233986
164.gzip,2,18,32,1,0.0014414280528942038
164.gzip,2,18,4,1,0.0011285093113411252
164.gzip,2,18,64,1,0.0014605223532365885
164.gzip,2,18,8,1,0.0013039401274198082
164.gzip,2,19,16,1,0.00044033255372770023
164.gzip,2,19,32,1,0.0004516336720834675
164.gzip,2,19,4,1,0.00044954899976541333
164.gzip,2,19,64,1,0.00045730200274515955
164.gzip,2,19,8,1,0.0004282525807771967
164.gzip,2,20,16,1,0.000357450989284262
164.gzip,2,20,32,1,0.0003594908465561904
164.gzip,2,20,4,1,0.00035460755187490716
164.gzip,2,20,64,1,0.00036173314420889357
164.gzip,2,20,8,1,0.0003579903151841885
164.gzip,2,21,16,1,0.00034373758516979754
164.gzip,2,21,32,1,0.0003437638560589057
164.gzip,2,21,4,1,0.00034017401632959523
164.gzip,2,21,64,1,0.00034430318195883224
164.gzip,2,21,8,1,0.00034273156465159646
164.gzip,2,22,16,1,0.0003404459972991857
164.gzip,2,22,32,1,0.0003406963434189224
164.gzip,2,22,4,1,0.00033996230387031175
164.gzip,2,22,64,1,0.0003407210689616124
164.gzip,2,22,8,1,0.0003400163909949462
164.gzip,2,23,16,1,0.0003399669399095661
164.gzip,2,23,32,1,0.00034002257238061875
164.gzip,2,23,4,1,0.0003399576678310574
164.gzip,2,23,64,1,0.00034007820485167133
164.gzip,2,23,8,1,0.0003399561224846393
164.gzip,2,24,16,1,0.0003399561224846393
164.gzip,2,24,32,1,0.0003399561224846393
164.gzip,2,24,4,1,0.0003399561224846393
164.gzip,2,24,64,1,0.0003399561224846393
164.gzip,2,24,8,1,0.0003399561224846393
164.gzip,2,25,16,1,0.0003399561224846393
164.gzip,2,25,32,1,0.0003399561224846393
164.gzip,2,25,4,1,0.0003399561224846393
164.gzip,2,25,64,1,0.0003399561224846393
164.gzip,2,25,8,1,0.0003399561224846393
164.gzip,l,16,16,1,0.022246973932778278
164.gzip,l,16,32,1,0.0222356295447228
164.gzip,l,16,4,1,0.022278349101105523
164.gzip,l,16,64,1,0.022193767655602145
164.gzip,l,16,8,1,0.022261305475459993
164.gzip,l,17,16,1,0.009373287881728112
164.gzip,l,17,32,1,0.009373221431832132
164.gzip,l,17,4,1,0.009339132635194654
164.gzip,l,17,64,1,0.009373590769626064
164.gzip,l,17,8,1,0.009359483302174978
164.gzip,l,18,16,1,0.0009486897114349598
164.gzip,l,18,32,1,0.000962022960330565
164.gzip,l,18,4,1,0.0008998335844258554
164.gzip,l,18,64,1,0.0009703755577205447
164.gzip,l,18,8,1,0.0008955220679192793
164.gzip,l,19,16,1,0.00034009056762301633
164.gzip,l,19,32,1,0.0003400921129694345
164.gzip,l,19,4,1,0.00034838444184910725
164.gzip,l,19,64,1,0.0003400890222765982
164.gzip,l,19,8,1,0.0003401137478192883
164.gzip,l,20,16,1,0.00034001330030210996
164.gzip,l,20,32,1,0.00034001330030210996
164.gzip,l,20,4,1,0.0003400086642628556
164.gzip,l,20,64,1,0.0003400148456485281
164.gzip,l,20,8,1,0.0003400102096092737
164.gzip,l,21,16,1,0.00033997157594882054
164.gzip,l,21,32,1,0.00033997312129523864
164.gzip,l,21,4,1,0.00033997312129523864
164.gzip,l,21,64,1,0.00033997312129523864
164.gzip,l,21,8,1,0.00033997312129523864
164.gzip,l,22,16,1,0.0003399561224846393
164.gzip,l,22,32,1,0.0003399561224846393
164.gzip,l,22,4,1,0.0003399561224846393
164.gzip,l,22,64,1,0.0003399561224846393
164.gzip,l,22,8,1,0.0003399561224846393
164.gzip,l,23,16,1,0.0003399561224846393
164.gzip,l,23,32,1,0.0003399561224846393
164.gzip,l,23,4,1,0.0003399561224846393
164.gzip,l,23,64,1,0.0003399561224846393
164.gzip,l,23,8,1,0.0003399561224846393
164.gzip,l,24,16,1,0.0003399561224846393
164.gzip,l,24,32,1,0.0003399561224846393
164.gzip,l,24,4,1,0.0003399561224846393
164.gzip,l,24,64,1,0.0003399561224846393
164.gzip,l,24,8,1,0.0003399561224846393
164.gzip,l,25,16,1,0.0003399561224846393
164.gzip,l,25,32,1,0.0003399561224846393
164.gzip,l,25,4,1,0.0003399561224846393
164.gzip,l,25,64,1,0.0003399561224846393
164.gzip,l,25,8,1,0.0003399561224846393
168.wupwise,2,16,16,1,0.013776831167906354
168.wupwise,2,16,32,1,0.013790617589979811
168.wupwise,2,16,4,1,0.013841201178899446
168.wupwise,2,16,64,1,0.013799318684290669
168.wupwise,2,16,8,1,0.013833427038585328
168.wupwise,2,17,16,1,0.013621987862987595
168.wupwise,2,17,32,1,0.013618055575562402
168.wupwise,2,17,4,1,0.013582487349468
168.wupwise,2,17,64,1,0.013621085132527355
168.wupwise,2,17,8,1,0.013610455844711085
168.wupwise,2,18,16,1,0.012998330307156898
168.wupwise,2,18,32,1,0.013045110800846008
168.wupwise,2,18,4,1,0.013000169681028476
168.wupwise,2,18,64,1,0.01307646736139425
168.wupwise,2,18,8,1,0.01289362487808617
168.wupwise,2,19,16,1,0.012319604578349169
168.wupwise,2,19,32,1,0.012374168901766996
168.wupwise,2,19,4,1,0.012240936221211248
168.wupwise,2,19,64,1,0.012401599634499778
168.wupwise,2,19,8,1,0.012328622193536962
168.wupwise,2,20,16,1,0.012114949607873913
168.wupwise,2,20,32,1,0.012116249604332755
168.wupwise,2,20,4,1,0.01207117121780839
168.wupwise,2,20,64,1,0.012132936391176498
168.wupwise,2,20,8,1,0.012088951293599508
168.wupwise,2,21,16,1,0.011999900728717618
168.wupwise,2,21,32,1,0.012002728422878403
168.wupwise,2,21,4,1,0.012027761025497668
168.wupwise,2,21,64,1,0.012001265321273793
168.wupwise,2,21,8,1,0.012004072021702944
168.wupwise,2,22,16,1,0.01149270509167239
168.wupwise,2,22,32,1,0.011485985482647247
168.wupwise,2,22,4,1,0.011367026924699826
168.wupwise,2,22,64,1,0.01147792227479756
168.wupwise,2,22,8,1,0.011529009713276398
168.wupwise,2,23,16,1,0.010769871532702736
168.wupwise,2,23,32,1,0.010762675527459756
168.wupwise,2,23,4,1,0.010641748403446089
168.wupwise,2,23,64,1,0.010764574652721369
168.wupwise,2,23,8,1,0.01066805354918283
168.wupwise,2,24,16,1,0.010221528181655904
