level,policy,size,miss_ratio
1,r,16,1.0
1,r,17,1.0
1,r,18,1.0
1,r,19,1.0
1,r,20,1.0
1,r,21,1.0
1,r,22,1.0
1,r,23,1.0
1,r,24,1.0
1,r,25,1.0
1,f,16,0.9978602534685364
1,f,17,0.984664070666351
1,f,18,0.9888678035434139
1,f,19,1.0445096644511613
1,f,20,1.0317286528884118
1,f,21,1.0472472004717555
1,f,22,1.0200307680617207
1,f,23,1.0368084522710679
1,f,24,1.015209462963644
1,f,25,1.0490051448483075
1,l,16,0.9290307970311652
1,l,17,0.9426688466882885
1,l,18,0.918087725648262
1,l,19,0.9799022261318782
1,l,20,0.9812209817740741
1,l,21,0.9951988918851857
1,l,22,1.003528638969147
1,l,23,1.000276471243211
1,l,24,1.000657224698818
1,l,25,1.0641849966019552
1,2,16,0.9374995478013348
1,2,17,0.954043288615668
1,2,18,0.9517967044890235
1,2,19,0.9611020082353574
1,2,20,0.9676968071599718
1,2,21,0.9696300191653686
1,2,22,0.9886926662297726
1,2,23,0.9845673247724236
1,2,24,0.9973522337817248
1,2,25,1.0183794252617648
